Major Desc,Total Weekly Hours
Accounting,120.16666666666642
Accounting-U,22.83333333333329
Advanced Media Management,53.91666666666658
Advertising,85.5833333333332
Aerospace Engineering,163.08333333333303
Anthropology,16.16666666666664
Applied Data Analytics,56.083333333333236
Applied Data Science,46.58333333333332
Applied Mathematics,32.1666666666666
Architecture,57.5833333333333
Art Photography,30.91666666666663
Art Video,31.41666666666664
Arts and Sciences (Undeclared),934.4999999999985
Biochemistry,30.58333333333327
Biochemistry-U,104.66666666666653
Bioengineering,121.41666666666644
Biology,554.9166666666658
Biomedical Engineering,67.33333333333323
Biotechnology,83.83333333333321
Broadcast & Digital Journalism,385.2499999999997
Business Analytics,13.3333333333333
Business Analytics-U,13.499999999999982
Chemical Engineering,73.66666666666654
Chemistry,91.99999999999984
Civil Engineering,256.4166666666663
Comm & Rhetorical Studies,1194.4166666666647
Comm Sci & Disorders,43.41666666666658
Computer Art and Animation,17.41666666666665
Computer Engineering,105.83333333333314
Computer Science,82.08333333333316
Conflict and Collaboration,98.49999999999994
Creative Writing,13.41666666666664
Cybersecurity,7.99999999999998
Data Science,12.24999999999999
"Data Science,Finance",5.5
Drama,26.5833333333333
Earth Sciences,37.6666666666666
Economics,984.1666666666648
Electrical Engineering,45.66666666666658
Eng & Textual Studies,13.41666666666664
Engineering (Undeclared),33.416666666666615
Enterprise Technology Leadrshp,2.75
Entrepren & Emerg Enterprises,492.6666666666662
Entrepren&Emerg Enterprises-U,81.99999999999982
Enviromental Science,17.74999999999999
Environmental & Interior Desgn,39.66666666666663
Environmental Engineering,98.41666666666652
Environmental Geoscience,94.16666666666656
Environmental Health,22.416666666666618
Exercise Science,67.16666666666654
Fashion Design,91.58333333333326
Film,35.66666666666666
Finance,475.1666666666658
Finance-U,303.49999999999943
Fine Arts,13.41666666666664
Food Studies,28.166666666666607
"Food Studies,Public Administration",7.99999999999998
Forensic Science,27.33333333333332
"Forest Technology,Natural Resources Management",15.08333333333331
GIS and Spatial Analysis,8.16666666666666
Geography,50.999999999999915
Geology,25.49999999999995
Global Health,21.5833333333333
Graphic Design,80.49999999999984
Health and Exercise Science,1330.4999999999977
Health and Physical Education,42.99999999999993
"Higher Postsecondary Education,Intercol Athletc Advsng&Supprt",7.5
History,184.33333333333303
Human Development & Family Sci,475.08333333333223
Incl Elem&Sp Ed Tchr Prep Prog,69.99999999999994
Industrial and Interaction Dsg,31.08333333333331
Info Mgmt & Technology,179.4999999999997
Information Systems,15.08333333333333
"Instrctnl Des, Dvlpmnt, & Eval",26.75
Intercol Athletc Advsng&Supprt,41.5
International Relations,211.9999999999997
Law,75.33333333333334
"Magazine, News & Dgtl Journlsm",52.66666666666664
"Magazine,News&Digital Journlsm",64.24999999999986
Management (Undeclared),171.4999999999997
Management -U,69.91666666666654
Management Major,157.74999999999977
Marketing,8.24999999999999
Marketing Management,253.99999999999952
Marketing Management-U,95.58333333333313
Marriage & Family Therapy,11
"Marriage & Family Therapy,Trauma-Informed Practice",11
Maxwell (Undeclared),66.91666666666663
Mechanical Engineering,218.49999999999966
Mechanical and Aerospace Engr,21.5833333333333
Neuroscience,12.499999999999973
Not Specified,20.499999999999954
Nutrition Science,86.24999999999983
Policy Studies,122.49999999999976
Political Philosophy,26.333333333333318
Political Science,300.33333333333286
Professional Accounting,27.08333333333328
Psychology,1218.4166666666645
Public Administration,8.08333333333332
Public Health,153.41666666666637
Public Relations,174.2499999999997
Real Estate,22.083333333333304
Real Estate-U,39.33333333333326
Recording&Entertainment Indust,33.416666666666586
Retail Management-U,29.49999999999994
Selected Studies In Educ,247.83333333333286
Social Work,75.08333333333326
Sociology,499.3333333333323
Speech-Language Pathology(NYT),29.333333333333275
Sport Analytics,88.16666666666654
Sport Management,504.6666666666656
Sport Venue & Event Management,45.9166666666666
Sport&Human Dynamic-Undeclared,287.16666666666606
Supply Chain Management,142.74999999999972
Teaching & Curriculum,8.25
"Television, Radio and Film",264.9166666666663
Women's and Gender Studies,31.41666666666661
