College,n,No Cancel,Cancel,Known Cancel,Cancel pct
Arts & Sciences,4852,3669,1183,4852,24.38169826875515
Dual IS/MG,130,96,34,130,26.153846153846157
Dual MA/PC,1,1,0,1,0
Education,255,198,57,255,22.35294117647059
Engineering & Computer Science,665,439,226,665,33.98496240601504
Information Studies,287,196,91,287,31.70731707317073
Management,1314,973,341,1314,25.95129375951294
Maxwell,23,14,9,23,39.130434782608695
Professional Studies,67,37,30,67,44.776119402985074
Public Communications,410,303,107,410,26.097560975609756
Sport and Human Dynamics,3077,2446,631,3077,20.506987325316867
Undecided,12,10,2,12,16.666666666666664
Visual & Performing Arts,1670,1407,263,1670,15.748502994011975
NA,25,11,14,25,56.00000000000001
