Term,College,Credits
Fall 2023,Architecture,33
Fall 2023,Arts & Sciences,3402
Fall 2023,Education,259
Fall 2023,Engineering & Computer Science,680
Fall 2023,Environmental Science & Fstry,31
Fall 2023,Information Studies,177
Fall 2023,Law,51
Fall 2023,Management,1393.5
Fall 2023,Maxwell,124
Fall 2023,"Maxwell,Sport and Human Dynamics",15
Fall 2023,Professional Studies,129
Fall 2023,Public Communications,537.5
Fall 2023,Sport and Human Dynamics,2014
Fall 2023,Visual & Performing Arts,867
Fall 2023,NA,539.5
Spring 2024,Architecture,15
Spring 2024,Arts & Sciences,3371
Spring 2024,Education,259.5
Spring 2024,Engineering & Computer Science,622
Spring 2024,Environmental Science & Fstry,26
Spring 2024,Information Studies,207
Spring 2024,"Information Studies,Management",6
Spring 2024,Law,50
Spring 2024,Management,1330.5
Spring 2024,Maxwell,72
Spring 2024,Professional Studies,143
Spring 2024,Public Communications,613.5
Spring 2024,Sport and Human Dynamics,1824
Spring 2024,Visual & Performing Arts,901
Spring 2024,NA,659.5
