Term,Major Desc,Credits
Fall 2023,Accounting,62
Fall 2023,Accounting-U,13
Fall 2023,Advanced Media Management,30
Fall 2023,Advertising,50
Fall 2023,Aerospace Engineering,76
Fall 2023,Anthropology,16
Fall 2023,Applied Data Analytics,32
Fall 2023,Applied Data Science,24
Fall 2023,Applied Mathematics,18
Fall 2023,Architecture,33
Fall 2023,Art Photography,15
Fall 2023,Art Video,15
Fall 2023,Arts and Sciences (Undeclared),696
Fall 2023,Biochemistry,12
Fall 2023,Biochemistry-U,45
Fall 2023,Bioengineering,63
Fall 2023,Biology,293
Fall 2023,Biomedical Engineering,48
Fall 2023,Biotechnology,46
Fall 2023,Broadcast & Digital Journalism,148
Fall 2023,Business Analytics-U,15
Fall 2023,Chemical Engineering,46
Fall 2023,Chemistry,42
Fall 2023,Civil Engineering,111
Fall 2023,Comm & Rhetorical Studies,739
Fall 2023,Comm Sci & Disorders,36
Fall 2023,Computer Engineering,52
Fall 2023,Computer Science,51
Fall 2023,Conflict and Collaboration,102
Fall 2023,Creative Leadership,6
Fall 2023,Data Science,9
Fall 2023,Drama,15
Fall 2023,Earth Sciences,14
Fall 2023,Economics,595
Fall 2023,Electrical Engineering,31
Fall 2023,Eng & Textual Studies,15
Fall 2023,Engineering (Undeclared),16
Fall 2023,Enterprise Technology Leadrshp,3
Fall 2023,Entrepren & Emerg Enterprises,179
Fall 2023,Entrepren&Emerg Enterprises-U,76
Fall 2023,Enviromental Science,16
Fall 2023,Environmental & Interior Desgn,17
Fall 2023,Environmental Engineering,47
Fall 2023,Environmental Geoscience,34
Fall 2023,Environmental Health,15
Fall 2023,Exercise Science,51
Fall 2023,Fashion Design,33
Fall 2023,Film,18
Fall 2023,Finance,226
Fall 2023,Finance-U,236
Fall 2023,Fine Arts,17
Fall 2023,Food Studies,28
Fall 2023,"Food Studies,Public Administration",15
Fall 2023,Forensic Science,15
Fall 2023,Geography,32
Fall 2023,Geology,12
Fall 2023,Global Health,18
Fall 2023,Graphic Design,45
Fall 2023,Health and Exercise Science,755
Fall 2023,Health and Physical Education,32
Fall 2023,"Higher Postsecondary Education,Intercol Athletc Advsng&Supprt",9
Fall 2023,History,95
Fall 2023,Human Development & Family Sci,316
Fall 2023,Incl Elem&Sp Ed Tchr Prep Prog,18
Fall 2023,Industrial and Interaction Dsg,15
Fall 2023,Info Mgmt & Technology,88
Fall 2023,Information Systems,21
