Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition,Date
12:54 AM,63ʡF,52ʡF,67ʡ%,SW,5ʡmph,0ʡmph,29.59ʡin,0.0ʡin,Partly Cloudy,8/20/2023
1:54 AM,60ʡF,52ʡF,75ʡ%,CALM,0ʡmph,0ʡmph,29.60ʡin,0.0ʡin,Fair,8/20/2023
2:54 AM,59ʡF,53ʡF,81ʡ%,CALM,0ʡmph,0ʡmph,29.60ʡin,0.0ʡin,Fair,8/20/2023
3:54 AM,57ʡF,53ʡF,87ʡ%,CALM,0ʡmph,0ʡmph,29.61ʡin,0.0ʡin,Fair,8/20/2023
4:54 AM,58ʡF,52ʡF,81ʡ%,CALM,0ʡmph,0ʡmph,29.61ʡin,0.0ʡin,Fair,8/20/2023
5:54 AM,58ʡF,52ʡF,81ʡ%,CALM,0ʡmph,0ʡmph,29.62ʡin,0.0ʡin,Mostly Cloudy,8/20/2023
6:54 AM,60ʡF,52ʡF,75ʡ%,SSW,3ʡmph,0ʡmph,29.64ʡin,0.0ʡin,Mostly Cloudy,8/20/2023
7:54 AM,66ʡF,53ʡF,63ʡ%,SW,5ʡmph,0ʡmph,29.64ʡin,0.0ʡin,Mostly Cloudy,8/20/2023
8:54 AM,71ʡF,55ʡF,57ʡ%,WSW,8ʡmph,0ʡmph,29.64ʡin,0.0ʡin,Mostly Cloudy,8/20/2023
9:54 AM,74ʡF,57ʡF,55ʡ%,WSW,10ʡmph,0ʡmph,29.63ʡin,0.0ʡin,Mostly Cloudy,8/20/2023
10:54 AM,73ʡF,57ʡF,57ʡ%,WSW,7ʡmph,0ʡmph,29.64ʡin,0.0ʡin,Mostly Cloudy,8/20/2023
11:54 AM,77ʡF,58ʡF,52ʡ%,WSW,7ʡmph,0ʡmph,29.62ʡin,0.0ʡin,Partly Cloudy,8/20/2023
12:54 PM,79ʡF,57ʡF,47ʡ%,WSW,8ʡmph,0ʡmph,29.61ʡin,0.0ʡin,Partly Cloudy,8/20/2023
1:54 PM,81ʡF,55ʡF,41ʡ%,SSW,8ʡmph,0ʡmph,29.61ʡin,0.0ʡin,Mostly Cloudy,8/20/2023
2:54 PM,81ʡF,57ʡF,44ʡ%,W,9ʡmph,0ʡmph,29.61ʡin,0.0ʡin,Mostly Cloudy,8/20/2023
3:54 PM,83ʡF,56ʡF,39ʡ%,W,6ʡmph,0ʡmph,29.60ʡin,0.0ʡin,Mostly Cloudy,8/20/2023
4:54 PM,83ʡF,58ʡF,42ʡ%,W,10ʡmph,0ʡmph,29.59ʡin,0.0ʡin,Mostly Cloudy,8/20/2023
5:54 PM,82ʡF,58ʡF,44ʡ%,SW,7ʡmph,0ʡmph,29.58ʡin,0.0ʡin,Mostly Cloudy,8/20/2023
6:54 PM,81ʡF,59ʡF,47ʡ%,SW,5ʡmph,0ʡmph,29.59ʡin,0.0ʡin,Mostly Cloudy,8/20/2023
7:54 PM,79ʡF,59ʡF,50ʡ%,CALM,0ʡmph,0ʡmph,29.59ʡin,0.0ʡin,Mostly Cloudy,8/20/2023
8:54 PM,73ʡF,61ʡF,66ʡ%,CALM,0ʡmph,0ʡmph,29.59ʡin,0.0ʡin,Mostly Cloudy,8/20/2023
9:54 PM,73ʡF,63ʡF,71ʡ%,NW,3ʡmph,0ʡmph,29.61ʡin,0.0ʡin,Mostly Cloudy,8/20/2023
10:54 PM,73ʡF,64ʡF,73ʡ%,S,3ʡmph,0ʡmph,29.61ʡin,0.0ʡin,Cloudy,8/20/2023
11:54 PM,74ʡF,64ʡF,71ʡ%,CALM,0ʡmph,0ʡmph,29.61ʡin,0.0ʡin,Cloudy,8/20/2023
12:54 AM,73ʡF,64ʡF,73ʡ%,CALM,0ʡmph,0ʡmph,29.61ʡin,0.0ʡin,Cloudy,8/21/2023
1:54 AM,73ʡF,65ʡF,76ʡ%,CALM,0ʡmph,0ʡmph,29.61ʡin,0.0ʡin,Light Drizzle,8/21/2023
2:54 AM,73ʡF,65ʡF,76ʡ%,CALM,0ʡmph,0ʡmph,29.60ʡin,0.0ʡin,Cloudy,8/21/2023
3:23 AM,73ʡF,65ʡF,76ʡ%,CALM,0ʡmph,0ʡmph,29.60ʡin,0.0ʡin,Cloudy,8/21/2023
3:45 AM,74ʡF,65ʡF,73ʡ%,SSW,3ʡmph,0ʡmph,29.60ʡin,0.0ʡin,Cloudy,8/21/2023
3:54 AM,74ʡF,65ʡF,73ʡ%,SW,3ʡmph,0ʡmph,29.60ʡin,0.0ʡin,Cloudy,8/21/2023
4:18 AM,74ʡF,65ʡF,73ʡ%,W,6ʡmph,0ʡmph,29.60ʡin,0.0ʡin,Cloudy,8/21/2023
4:54 AM,74ʡF,65ʡF,73ʡ%,WSW,6ʡmph,0ʡmph,29.61ʡin,0.0ʡin,Cloudy,8/21/2023
5:54 AM,74ʡF,65ʡF,73ʡ%,W,7ʡmph,0ʡmph,29.62ʡin,0.0ʡin,Cloudy,8/21/2023
6:16 AM,74ʡF,65ʡF,73ʡ%,W,7ʡmph,0ʡmph,29.62ʡin,0.0ʡin,Cloudy,8/21/2023
6:54 AM,73ʡF,65ʡF,76ʡ%,W,9ʡmph,0ʡmph,29.63ʡin,0.0ʡin,Cloudy,8/21/2023
7:54 AM,73ʡF,66ʡF,79ʡ%,WNW,8ʡmph,0ʡmph,29.65ʡin,0.0ʡin,Cloudy,8/21/2023
8:54 AM,74ʡF,67ʡF,79ʡ%,W,8ʡmph,0ʡmph,29.66ʡin,0.0ʡin,Cloudy,8/21/2023
9:22 AM,74ʡF,67ʡF,79ʡ%,W,8ʡmph,0ʡmph,29.65ʡin,0.0ʡin,Cloudy,8/21/2023
9:54 AM,75ʡF,67ʡF,76ʡ%,WNW,9ʡmph,0ʡmph,29.66ʡin,0.0ʡin,Cloudy,8/21/2023
10:54 AM,74ʡF,67ʡF,79ʡ%,NW,12ʡmph,0ʡmph,29.66ʡin,0.0ʡin,Haze,8/21/2023
11:54 AM,73ʡF,66ʡF,79ʡ%,WNW,13ʡmph,0ʡmph,29.68ʡin,0.0ʡin,Cloudy,8/21/2023
12:50 PM,73ʡF,63ʡF,69ʡ%,NW,9ʡmph,0ʡmph,29.67ʡin,0.0ʡin,Cloudy,8/21/2023
12:54 PM,73ʡF,64ʡF,73ʡ%,WNW,13ʡmph,0ʡmph,29.67ʡin,0.0ʡin,Cloudy,8/21/2023
1:54 PM,73ʡF,62ʡF,68ʡ%,NW,9ʡmph,0ʡmph,29.67ʡin,0.0ʡin,Mostly Cloudy,8/21/2023
2:54 PM,73ʡF,62ʡF,68ʡ%,WNW,7ʡmph,0ʡmph,29.67ʡin,0.0ʡin,Mostly Cloudy,8/21/2023
3:54 PM,74ʡF,61ʡF,64ʡ%,NW,13ʡmph,0ʡmph,29.66ʡin,0.0ʡin,Mostly Cloudy,8/21/2023
4:46 PM,74ʡF,59ʡF,59ʡ%,WNW,12ʡmph,0ʡmph,29.67ʡin,0.0ʡin,Mostly Cloudy,8/21/2023
4:54 PM,73ʡF,57ʡF,57ʡ%,NW,10ʡmph,0ʡmph,29.67ʡin,0.0ʡin,Mostly Cloudy,8/21/2023
5:54 PM,72ʡF,55ʡF,55ʡ%,NW,9ʡmph,0ʡmph,29.68ʡin,0.0ʡin,Mostly Cloudy,8/21/2023
6:54 PM,70ʡF,54ʡF,57ʡ%,NW,10ʡmph,0ʡmph,29.69ʡin,0.0ʡin,Mostly Cloudy,8/21/2023
7:54 PM,67ʡF,53ʡF,61ʡ%,WNW,7ʡmph,0ʡmph,29.70ʡin,0.0ʡin,Mostly Cloudy,8/21/2023
8:54 PM,66ʡF,53ʡF,63ʡ%,WNW,8ʡmph,0ʡmph,29.70ʡin,0.0ʡin,Mostly Cloudy,8/21/2023
9:54 PM,63ʡF,53ʡF,70ʡ%,NW,5ʡmph,0ʡmph,29.71ʡin,0.0ʡin,Mostly Cloudy,8/21/2023
10:54 PM,64ʡF,53ʡF,67ʡ%,NW,6ʡmph,0ʡmph,29.71ʡin,0.0ʡin,Mostly Cloudy,8/21/2023
11:54 PM,64ʡF,53ʡF,67ʡ%,NNW,5ʡmph,0ʡmph,29.71ʡin,0.0ʡin,Cloudy,8/21/2023
12:54 AM,62ʡF,53ʡF,72ʡ%,NNW,5ʡmph,0ʡmph,29.71ʡin,0.0ʡin,Mostly Cloudy,8/22/2023
1:54 AM,59ʡF,52ʡF,78ʡ%,NW,6ʡmph,0ʡmph,29.71ʡin,0.0ʡin,Partly Cloudy,8/22/2023
2:54 AM,58ʡF,52ʡF,81ʡ%,NNW,3ʡmph,0ʡmph,29.70ʡin,0.0ʡin,Fair,8/22/2023
3:54 AM,56ʡF,51ʡF,84ʡ%,NNW,5ʡmph,0ʡmph,29.72ʡin,0.0ʡin,Partly Cloudy,8/22/2023
4:54 AM,57ʡF,50ʡF,77ʡ%,CALM,0ʡmph,0ʡmph,29.72ʡin,0.0ʡin,Partly Cloudy,8/22/2023
5:54 AM,56ʡF,50ʡF,80ʡ%,W,5ʡmph,0ʡmph,29.73ʡin,0.0ʡin,Mostly Cloudy,8/22/2023
6:54 AM,56ʡF,50ʡF,80ʡ%,CALM,0ʡmph,0ʡmph,29.75ʡin,0.0ʡin,Mostly Cloudy,8/22/2023
7:54 AM,59ʡF,52ʡF,78ʡ%,NNW,5ʡmph,0ʡmph,29.77ʡin,0.0ʡin,Mostly Cloudy,8/22/2023
8:54 AM,63ʡF,53ʡF,70ʡ%,CALM,0ʡmph,0ʡmph,29.77ʡin,0.0ʡin,Mostly Cloudy,8/22/2023
9:54 AM,66ʡF,53ʡF,63ʡ%,NW,5ʡmph,0ʡmph,29.77ʡin,0.0ʡin,Mostly Cloudy,8/22/2023
10:54 AM,70ʡF,53ʡF,55ʡ%,NNW,3ʡmph,0ʡmph,29.76ʡin,0.0ʡin,Partly Cloudy,8/22/2023
11:54 AM,73ʡF,51ʡF,46ʡ%,N,5ʡmph,0ʡmph,29.76ʡin,0.0ʡin,Partly Cloudy,8/22/2023
12:54 PM,76ʡF,52ʡF,43ʡ%,CALM,0ʡmph,0ʡmph,29.75ʡin,0.0ʡin,Mostly Cloudy,8/22/2023
1:54 PM,76ʡF,53ʡF,45ʡ%,WNW,7ʡmph,0ʡmph,29.72ʡin,0.0ʡin,Mostly Cloudy,8/22/2023
2:54 PM,78ʡF,54ʡF,43ʡ%,WNW,6ʡmph,16ʡmph,29.71ʡin,0.0ʡin,Mostly Cloudy,8/22/2023
3:54 PM,77ʡF,54ʡF,45ʡ%,WNW,13ʡmph,0ʡmph,29.71ʡin,0.0ʡin,Mostly Cloudy,8/22/2023
4:54 PM,77ʡF,54ʡF,45ʡ%,NW,16ʡmph,0ʡmph,29.70ʡin,0.0ʡin,Mostly Cloudy,8/22/2023
5:54 PM,75ʡF,55ʡF,50ʡ%,NNW,9ʡmph,0ʡmph,29.70ʡin,0.0ʡin,Mostly Cloudy,8/22/2023
6:54 PM,73ʡF,55ʡF,53ʡ%,NNW,12ʡmph,0ʡmph,29.70ʡin,0.0ʡin,Mostly Cloudy,8/22/2023
7:54 PM,70ʡF,54ʡF,57ʡ%,NW,5ʡmph,0ʡmph,29.70ʡin,0.0ʡin,Mostly Cloudy,8/22/2023
8:54 PM,67ʡF,55ʡF,66ʡ%,NW,6ʡmph,0ʡmph,29.72ʡin,0.0ʡin,Mostly Cloudy,8/22/2023
9:54 PM,66ʡF,55ʡF,68ʡ%,WNW,5ʡmph,0ʡmph,29.72ʡin,0.0ʡin,Fair,8/22/2023
10:54 PM,65ʡF,56ʡF,73ʡ%,CALM,0ʡmph,0ʡmph,29.72ʡin,0.0ʡin,Fair,8/22/2023
11:54 PM,62ʡF,56ʡF,80ʡ%,SE,3ʡmph,0ʡmph,29.72ʡin,0.0ʡin,Partly Cloudy,8/22/2023
12:54 AM,62ʡF,56ʡF,80ʡ%,CALM,0ʡmph,0ʡmph,29.72ʡin,0.0ʡin,Partly Cloudy,8/23/2023
1:54 AM,61ʡF,55ʡF,81ʡ%,CALM,0ʡmph,0ʡmph,29.72ʡin,0.0ʡin,Mostly Cloudy,8/23/2023
