SUID,Class Code*,Term,max(`Credits Attempted`),first(`Start Time`),first(`End Time`),max(MondayDummy),max(TuesdayDummy),max(WednesdayDummy),max(ThursdayDummy),max(FridayDummy),max(SaturdayDummy),max(SundayDummy),College,Major Desc,Sport
200943560,ACC151,Fall 2023,4,12:30:00,13:50:00,0,1,0,1,1,0,0,Management,Real Estate-U,Men's Women's Spirit Teams
200943560,ACC252,Spring 2024,3,15:45:00,17:05:00,1,0,1,0,0,0,0,Management,Real Estate-U,Men's Women's Spirit Teams
200943560,ECN101,Fall 2023,3,14:15:00,15:35:00,1,0,1,0,0,0,0,Management,Real Estate-U,Men's Women's Spirit Teams
200943560,ECN102,Spring 2024,3,15:30:00,16:50:00,0,1,0,1,0,0,0,Management,Real Estate-U,Men's Women's Spirit Teams
200943560,FYS101,Fall 2023,1,NA,NA,0,0,0,1,0,0,0,Management,Real Estate-U,Men's Women's Spirit Teams
200943560,LPP255,Spring 2024,3,14:00:00,15:20:00,0,1,0,1,0,0,0,Management,Real Estate-U,Men's Women's Spirit Teams
200943560,MAS261,Spring 2024,3,14:15:00,15:35:00,1,0,1,0,0,0,0,Management,Real Estate-U,Men's Women's Spirit Teams
200943560,NSD225,Spring 2024,3,11:00:00,12:20:00,0,1,0,1,0,0,0,Management,Real Estate-U,Men's Women's Spirit Teams
200943560,PSY205,Fall 2023,3,08:25:00,09:20:00,1,0,1,0,0,0,0,Management,Real Estate-U,Men's Women's Spirit Teams
200943560,SOM122,Fall 2023,3,10:35:00,11:30:00,1,0,1,0,1,0,0,Management,Real Estate-U,Men's Women's Spirit Teams
200943560,WRT105,Fall 2023,3,11:00:00,12:20:00,0,1,0,1,0,0,0,Management,Real Estate-U,Men's Women's Spirit Teams
201493965,ANT111,Fall 2023,3,14:15:00,15:10:00,1,0,1,1,0,0,0,Arts & Sciences,Maxwell (Undeclared),Women's Rowing
201493965,ANT185,Spring 2024,3,09:30:00,10:25:00,0,1,0,1,1,0,0,Arts & Sciences,Maxwell (Undeclared),Women's Rowing
201493965,COM107,Spring 2024,3,11:00:00,12:20:00,0,1,0,1,0,0,0,Arts & Sciences,Maxwell (Undeclared),Women's Rowing
201493965,ENG145,Spring 2024,3,14:15:00,15:10:00,1,0,1,0,1,0,0,Arts & Sciences,Maxwell (Undeclared),Women's Rowing
201493965,FYS101,Fall 2023,1,NA,NA,0,0,0,0,1,0,0,Arts & Sciences,Maxwell (Undeclared),Women's Rowing
201493965,GEO155,Fall 2023,3,11:00:00,11:55:00,0,1,0,1,1,0,0,Arts & Sciences,Maxwell (Undeclared),Women's Rowing
201493965,PSC124,Spring 2024,3,10:35:00,11:30:00,1,0,1,0,1,0,0,Arts & Sciences,Maxwell (Undeclared),Women's Rowing
201493965,SPA102,Fall 2023,4,09:30:00,10:25:00,1,1,1,1,0,0,0,Arts & Sciences,Maxwell (Undeclared),Women's Rowing
201493965,SPA201,Spring 2024,4,12:45:00,13:40:00,0,1,1,1,0,0,0,Arts & Sciences,Maxwell (Undeclared),Women's Rowing
201493965,WRT105,Fall 2023,3,10:35:00,11:30:00,1,0,1,0,1,0,0,Arts & Sciences,Maxwell (Undeclared),Women's Rowing
201721898,ANT121,Fall 2023,3,10:35:00,11:30:00,1,0,1,0,1,0,0,Arts & Sciences,Biology,Men's Women's Spirit Teams
