Major Desc,Hours Per Week
Accounting-U,1
Advanced Media Management,1.3871527777777777
Aerospace Engineering,0.9702380952380952
Applied Data Analytics,0.986574074074074
Applied Mathematics,0.9512345679012346
Art Photography,0.8816993464052287
Art Video,0.9761904761904762
Arts and Sciences (Undeclared),1.1280339027810782
Biochemistry,0.8976190476190476
Biochemistry-U,0.9590909090909091
Bioengineering,0.625
Biology,0.9723045935545935
Biomedical Engineering,0.6888888888888889
Biotechnology,1.0192307692307692
Broadcast & Digital Journalism,1.0008333333333332
Business Analytics-U,1
Chemical Engineering,1.1904761904761905
Chemistry,1
Civil Engineering,1.0901041666666667
Comm & Rhetorical Studies,1.0852383462502917
Comm Sci & Disorders,1.1041666666666667
Computer Engineering,2.2648809523809526
Computer Science,1.0017361111111112
Conflict and Collaboration,1.125
Creative Writing,1
Data Science,1
Earth Sciences,1
Economics,1.009570957937516
Electrical Engineering,0.999465811965812
Engineering (Undeclared),0.9933333333333334
Entrepren & Emerg Enterprises,0.9322916666666666
Entrepren&Emerg Enterprises-U,0.9910714285714286
Environmental Engineering,1
Environmental Geoscience,0.725
Fashion Design,1
Finance,0.9752777777777778
Finance-U,1.1314223453203716
Fine Arts,1.4371794871794872
Food Studies,1.8220238095238095
Geography,0.7618421052631579
Geology,1
Graphic Design,1
Health and Exercise Science,1.0988992774084483
Health and Physical Education,1.6777777777777778
History,1.0831250000000001
Human Development & Family Sci,1.0621900625018412
Industrial and Interaction Dsg,0.9615384615384616
Info Mgmt & Technology,1.0726751207729468
"Instrctnl Des, Dvlpmnt, & Eval",1.1833333333333333
International Relations,1.35
Management (Undeclared),0.9859375
Management -U,1.1684060846560846
Management Major,0.9907407407407407
Marketing Management,1
Marketing Management-U,0.9722222222222222
Maxwell (Undeclared),1
Mechanical Engineering,0.9860374579124579
Neuroscience,1
Not Specified,0.856712962962963
Nutrition Science,1.3237179487179487
Policy Studies,0.9944444444444445
Political Philosophy,0.8416666666666667
Political Science,1
Psychology,1.0572104541814413
Public Health,0.9125925925925926
Public Relations,0.9764583333333333
Real Estate-U,1
Recording&Entertainment Indust,0.921875
Selected Studies In Educ,1.0361489040060468
Sociology,1.0840276293785682
Sport Analytics,0.9494212962962963
Sport Management,1.1221514851731937
Sport Venue & Event Management,1.5
Sport&Human Dynamic-Undeclared,1.117620664025894
Supply Chain Management,1.0555555555555556
Teaching & Curriculum,1
"Television, Radio and Film",1.3263888888888888
Undecided,1
