Primary Major,n,Did Show,Did Not Show,Known Show,No Show pct
Accounting,9,8,1,9,11.11111111111111
Accounting-U,5,5,0,5,0
Advanced Media Management,38,33,5,38,13.157894736842104
Advertising,15,14,1,15,6.666666666666667
Aerospace Engineering,23,21,2,23,8.695652173913043
Applied Data Analytics,46,46,0,46,0
Applied Data Science,1,1,0,1,0
Applied Mathematics,40,38,2,40,5
Art Photography,52,41,11,52,21.153846153846153
Art Video,10,10,0,10,0
Arts and Sciences (Undeclared),646,609,37,646,5.727554179566564
Biochemistry,21,19,2,21,9.523809523809524
Biochemistry-U,27,26,1,27,3.7037037037037033
Bioengineering,5,4,1,5,20
Biology,164,147,17,164,10.365853658536585
Biomedical Engineering,11,10,1,11,9.090909090909092
Biotechnology,39,37,2,39,5.128205128205128
Broadcast & Digital Journalism,67,63,4,67,5.970149253731343
Chemical Engineering,4,4,0,4,0
Chemistry,27,25,2,27,7.4074074074074066
Civil Engineering,49,49,0,49,0
Comm & Rhetorical Studies,1025,934,91,1025,8.878048780487804
Comm Sci & Disorders,22,22,0,22,0
Computer Engineering,35,35,0,35,0
Computer Science,44,41,3,44,6.8181818181818175
Conflict and Collaboration,19,16,3,19,15.789473684210526
Creative Writing,34,30,4,34,11.76470588235294
Data Science,21,21,0,21,0
Earth Sciences,70,68,2,70,2.857142857142857
Economics,516,472,44,516,8.527131782945736
Electrical Engineering,35,32,3,35,8.571428571428571
Engineering (Undeclared),32,32,0,32,0
Entrepren & Emerg Enterprises,45,41,4,45,8.88888888888889
Environmental Engineering,4,3,1,4,25
Environmental Geoscience,8,8,0,8,0
Fashion Design,5,5,0,5,0
Finance,129,113,16,129,12.4031007751938
Finance-U,212,202,10,212,4.716981132075472
Geography,53,53,0,53,0
Geology,3,3,0,3,0
Graphic Design,6,5,1,6,16.666666666666664
Health and Exercise Science,522,481,41,522,7.854406130268199
Health and Physical Education,19,14,5,19,26.31578947368421
"Higher Postsecondary Education,Intercol Athletc Advsng&Supprt",2,2,0,2,0
History,166,157,9,166,5.421686746987952
Human Development & Family Sci,434,383,51,434,11.751152073732719
Industrial and Interaction Dsg,26,22,4,26,15.384615384615385
Info Mgmt & Technology,234,207,27,234,11.538461538461538
"Instrctnl Des, Dvlpmnt, & Eval",2,2,0,2,0
International Relations,27,25,2,27,7.4074074074074066
Management,71,69,2,71,2.8169014084507045
Management (Undeclared),152,130,22,152,14.473684210526317
Management -U,134,117,17,134,12.686567164179104
Marketing Management,49,43,6,49,12.244897959183673
Marketing Management-U,16,15,1,16,6.25
Maxwell (Undeclared),10,9,1,10,10
Mechanical Engineering,203,192,11,203,5.41871921182266
Neuroscience,11,11,0,11,0
Nutrition Science,10,10,0,10,0
Policy Studies,11,10,1,11,9.090909090909092
Political Philosophy,22,18,4,22,18.181818181818183
Political Science,22,20,2,22,9.090909090909092
Psychology,709,632,77,709,10.860366713681241
Public Health,31,26,5,31,16.129032258064516
Public Relations,79,78,1,79,1.2658227848101267
Real Estate-U,28,27,1,28,3.571428571428571
Recording&Entertainment Indust,19,17,2,19,10.526315789473683
Selected Studies In Educ,166,159,7,166,4.216867469879518
Sociology,539,493,46,539,8.534322820037106
Sport Analytics,2,2,0,2,0
Sport Management,323,314,9,323,2.786377708978328
Sport Venue & Event Management,7,4,3,7,42.857142857142854
Sport&Human Dynamic-Undeclared,447,430,17,447,3.803131991051454
Supply Chain Management,10,10,0,10,0
Supply Chain Management-U,2,1,1,2,50
Teaching & Curriculum,2,2,0,2,0
"Television, Radio and Film",82,66,16,82,19.51219512195122
Undecided,21,17,4,21,19.047619047619047
