Major Desc,Appointment Type,Num Sessions,Num Athletes,Session Athlete Ratio,Did Attend Pct
Accounting-U,Tutoring,6,1,6,40
Advanced Media Management,Tutoring,50,2,25,52.63157894736842
Advertising,Tutoring,3,4,0.75,0
Aerospace Engineering,Tutoring,29,6,4.833333333333333,39.130434782608695
Applied Data Analytics,Tutoring,41,2,20.5,73.91304347826086
Applied Data Science,Tutoring,5,3,1.6666666666666667,0
Applied Mathematics,Tutoring,37,1,37,75
Art Photography,Tutoring,10,1,10,69.23076923076923
Arts and Sciences (Undeclared),Tutoring,405,48,8.4375,77.63440860215054
Biochemistry,Tutoring,41,1,41,38.095238095238095
Biochemistry-U,Tutoring,36,3,12,59.25925925925925
Bioengineering,Tutoring,5,4,1.25,40
Biology,Tutoring,245,22,11.136363636363637,56.770833333333336
Biotechnology,Tutoring,51,4,12.75,54.83870967741935
Broadcast & Digital Journalism,Tutoring,53,10,5.3,62.68656716417911
Business Analytics-U,Tutoring,11,1,11,50
Chemical Engineering,Tutoring,26,3,8.666666666666666,57.14285714285714
Chemistry,Tutoring,7,5,1.4,70.58823529411765
Civil Engineering,Tutoring,70,9,7.777777777777778,69.38775510204081
Comm & Rhetorical Studies,Tutoring,334,63,5.301587301587301,75.13397642015005
Comm Sci & Disorders,Tutoring,22,2,11,46.51162790697674
Computer Engineering,Tutoring,59,3,19.666666666666668,71.42857142857143
Computer Science,Tutoring,79,4,19.75,59.09090909090909
Conflict and Collaboration,Tutoring,23,15,1.5333333333333334,42.10526315789473
Creative Writing,Tutoring,13,1,13,12.5
Data Science,Tutoring,26,1,26,61.904761904761905
Earth Sciences,Tutoring,25,2,12.5,92
Economics,Tutoring,556,42,13.238095238095237,62.8099173553719
Electrical Engineering,Tutoring,29,2,14.5,67.24137931034483
Engineering (Undeclared),Tutoring,51,1,51,53.125
Entrepren & Emerg Enterprises,Tutoring,62,16,3.875,46.42857142857143
Entrepren&Emerg Enterprises-U,Tutoring,42,5,8.4,84.84848484848484
Environmental Engineering,Tutoring,13,3,4.333333333333333,25
Environmental Geoscience,Tutoring,15,2,7.5,50
Fashion Design,Tutoring,12,3,4,80
Finance,Tutoring,44,24,1.8333333333333333,60.60606060606061
Finance-U,Tutoring,227,15,15.133333333333333,70.63492063492063
Food Studies,Tutoring,8,2,4,91.11111111111111
Geography,Tutoring,48,2,24,79.24528301886792
Geology,Tutoring,14,1,14,33.33333333333333
Graphic Design,Tutoring,17,3,5.666666666666667,50
Health and Exercise Science,Tutoring,475,50,9.5,68.13880126182966
"Higher Postsecondary Education,Intercol Athletc Advsng&Supprt",Tutoring,1,1,1,0
History,Tutoring,10,10,1,71.28712871287128
Human Development & Family Sci,Tutoring,297,23,12.91304347826087,75.24271844660194
Info Mgmt & Technology,Tutoring,271,8,33.875,60.1063829787234
"Instrctnl Des, Dvlpmnt, & Eval",Tutoring,2,2,1,100
International Relations,Tutoring,37,9,4.111111111111111,48.148148148148145
Liberal Studies,Tutoring,9,NA,NA,NA
Management (Undeclared),Tutoring,121,8,15.125,54.60526315789473
Management -U,Tutoring,115,3,38.333333333333336,70.62937062937063
Management Major,Tutoring,53,6,8.833333333333334,71.42857142857143
Marketing Management,Tutoring,66,11,6,50
Marketing Management-U,Tutoring,50,6,8.333333333333334,67.6923076923077
Mechanical Engineering,Tutoring,126,8,15.75,63.095238095238095
Nutrition Science,Tutoring,48,3,16,52
Policy Studies,Tutoring,26,6,4.333333333333333,87.5
Political Philosophy,Tutoring,6,1,6,68.18181818181817
Political Science,Tutoring,8,12,0.6666666666666666,72.72727272727273
Psychology,Tutoring,505,59,8.559322033898304,59.816513761467895
Public Health,Tutoring,49,8,6.125,63.07692307692307
Public Relations,Tutoring,80,7,11.428571428571429,78.48101265822784
Real Estate-U,Tutoring,40,2,20,50
Recording&Entertainment Indust,Tutoring,15,1,15,57.89473684210527
Selected Studies In Educ,Tutoring,140,12,11.666666666666666,73.4375
Sociology,Tutoring,206,24,8.583333333333334,68.84875846501129
Sport Analytics,Tutoring,37,4,9.25,56.75675675675676
Sport Management,Tutoring,319,26,12.26923076923077,71.73252279635258
Sport Venue & Event Management,Tutoring,9,3,3,42.857142857142854
Sport&Human Dynamic-Undeclared,Tutoring,300,17,17.647058823529413,78.97310513447434
Supply Chain Management,Tutoring,23,6,3.8333333333333335,62.5
"Television, Radio and Film",Tutoring,39,12,3.25,65.85365853658537
