Ethnic Group Code Desc All,n,Known Attendance,Did Attend,Did Not Attend,Did Attend Pct
"Am. Ind, Mexican-Am, Hispanic, White",13,9,2,7,22.22222222222222
"Am. Ind, Not Hispan",46,28,25,3,89.28571428571429
"Am. Ind, White",25,22,16,6,72.72727272727273
Asian,30,17,8,9,47.05882352941176
"Asian, Not Hispan",128,81,46,35,56.79012345679012
"Asian, White",92,63,33,30,52.38095238095239
"Asian, White, Not Hispan",5,4,3,1,75
Black,1842,1019,693,326,68.00785083415113
"Black, Am. Ind",83,59,29,30,49.152542372881356
"Black, Hispanic",245,133,100,33,75.18796992481202
"Black, Not Hispan",1531,861,642,219,74.56445993031359
"Black, Puerto Ric, Hispanic",218,114,83,31,72.80701754385966
"Black, White",373,224,168,56,75
"Black, White, Not Hispan",372,223,156,67,69.95515695067265
Hawaii/Pac,91,46,24,22,52.17391304347826
"Hispanic, White",243,118,72,46,61.016949152542374
"Mexican-Am, Hispanic",27,20,15,5,75
"Mexican-Am, Hispanic, White",58,32,19,13,59.375
"Mexican-Am, Hispanic, White, Hawaii/Pac",18,10,8,2,80
Not Hispan,90,55,39,16,70.9090909090909
Not Specif,259,160,107,53,66.875
"Puerto Ric, Hispanic",65,43,37,6,86.04651162790698
"Puerto Ric, Hispanic, White",111,71,57,14,80.28169014084507
White,4117,2504,1726,778,68.9297124600639
"White, Not Hispan",2174,1379,937,442,67.94778825235677
NA,1411,932,618,314,66.30901287553648
