Cleaned Ethnicity,n,Known Attendance,Did Attend,Did Not Attend,Did Attend Pct
Am. Ind,46,28,25,3,89.28571428571429
"Am. Ind, Mexican-Am, Hispanic, White",13,9,2,7,22.22222222222222
"Am. Ind, White",25,22,16,6,72.72727272727273
Asian,158,98,54,44,55.10204081632652
"Asian, White",97,67,36,31,53.73134328358209
Black,3373,1880,1335,545,71.01063829787235
"Black, Am. Ind",83,59,29,30,49.152542372881356
"Black, Hispanic",245,133,100,33,75.18796992481202
"Black, Puerto Ric, Hispanic",218,114,83,31,72.80701754385966
"Black, White",745,447,324,123,72.48322147651007
Hawaii/Pac,91,46,24,22,52.17391304347826
"Hispanic, White",243,118,72,46,61.016949152542374
"Mexican-Am, Hispanic",27,20,15,5,75
"Mexican-Am, Hispanic, White",58,32,19,13,59.375
"Mexican-Am, Hispanic, White, Hawaii/Pac",18,10,8,2,80
Not Hispan,90,55,39,16,70.9090909090909
Not Specif,259,160,107,53,66.875
"Puerto Ric, Hispanic",65,43,37,6,86.04651162790698
"Puerto Ric, Hispanic, White",111,71,57,14,80.28169014084507
White,6291,3883,2663,1220,68.58099407674479
NA,1411,932,618,314,66.30901287553648
