Ethnic Group Code Desc All,n,Known Attendance,Did Attend,Did Not Attend,Did Attend Pct
"Am. Ind, Mexican-Am, Hispanic, White",13,9,2,7,22.22222222222222
"Am. Ind, Not Hispan",46,28,25,3,89.28571428571429
"Am. Ind, White",25,22,16,6,72.72727272727273
Asian,30,17,8,9,47.05882352941176
"Asian, Not Hispan",128,81,46,35,56.79012345679012
"Asian, White",92,63,33,30,52.38095238095239
"Asian, White, Not Hispan",5,4,3,1,75
Black,1857,1023,693,330,67.74193548387096
"Black, Am. Ind",83,59,29,30,49.152542372881356
"Black, Hispanic",246,133,100,33,75.18796992481202
"Black, Not Hispan",1536,862,642,220,74.47795823665894
"Black, Puerto Ric, Hispanic",219,114,83,31,72.80701754385966
"Black, White",373,224,168,56,75
"Black, White, Not Hispan",373,223,156,67,69.95515695067265
Hawaii/Pac,91,46,24,22,52.17391304347826
"Hispanic, White",243,118,72,46,61.016949152542374
"Mexican-Am, Hispanic",27,20,15,5,75
"Mexican-Am, Hispanic, White",58,32,19,13,59.375
"Mexican-Am, Hispanic, White, Hawaii/Pac",18,10,8,2,80
Not Hispan,92,55,39,16,70.9090909090909
Not Specif,264,162,107,55,66.0493827160494
"Puerto Ric, Hispanic",65,43,37,6,86.04651162790698
"Puerto Ric, Hispanic, White",111,71,57,14,80.28169014084507
White,4133,2508,1726,782,68.81977671451355
"White, Not Hispan",2184,1384,937,447,67.70231213872833
NA,1422,935,618,317,66.09625668449198
