ID,n,Known Attendance,Did Attend,Did Not Attend,Did Attend Pct
100414669,17,0,0,0,NA
200943560,40,28,14,14,50
201721898,1,1,1,0,100
202436082,38,26,19,7,73.07692307692307
202666620,133,69,65,4,94.20289855072464
206369066,28,15,8,7,53.333333333333336
206882698,30,10,7,3,70
209082068,14,10,4,6,40
209635187,13,6,4,2,66.66666666666666
209814195,67,38,29,9,76.31578947368422
211412007,13,10,6,4,60
212199428,52,26,15,11,57.692307692307686
212424599,46,28,25,3,89.28571428571429
212847141,36,17,13,4,76.47058823529412
212974478,102,71,51,20,71.83098591549296
214610787,78,39,33,6,84.61538461538461
214683583,9,8,4,4,50
215037773,28,11,6,5,54.54545454545454
215113897,54,29,18,11,62.06896551724138
215149490,65,25,17,8,68
219977267,2,2,1,1,50
222538945,18,14,8,6,57.14285714285714
223037726,18,10,8,2,80
223133694,40,22,20,2,90.9090909090909
224588986,14,11,7,4,63.63636363636363
227350771,13,10,10,0,100
229347687,27,8,6,2,75
230931209,41,33,24,9,72.72727272727273
235463042,31,14,6,8,42.857142857142854
235955442,73,56,42,14,75
236218630,71,43,33,10,76.74418604651163
237963606,65,32,23,9,71.875
238654216,18,16,11,5,68.75
239097651,85,53,41,12,77.35849056603774
243792682,14,5,2,3,40
244665008,7,6,6,0,100
245318467,37,27,22,5,81.48148148148148
250193814,12,4,4,0,100
250523724,40,28,25,3,89.28571428571429
250875053,11,3,2,1,66.66666666666666
251302447,51,33,22,11,66.66666666666666
252515651,11,7,5,2,71.42857142857143
256521327,45,31,17,14,54.83870967741935
257057333,7,6,0,6,0
257364241,101,66,54,12,81.81818181818183
257512745,23,6,6,0,100
257882184,89,50,22,28,44
258508248,52,32,9,23,28.125
259669140,30,18,14,4,77.77777777777779
259789208,12,9,7,2,77.77777777777779
260139698,78,48,27,21,56.25
262954486,63,35,18,17,51.42857142857142
264952838,1,1,1,0,100
265327405,4,2,2,0,100
265597286,2,2,2,0,100
265755583,4,1,0,1,0
266605029,38,21,17,4,80.95238095238095
270261513,93,46,26,20,56.52173913043478
271422628,38,27,24,3,88.88888888888889
271498801,2,1,0,1,0
273946103,8,0,0,0,NA
275149759,4,1,1,0,100
275807677,28,12,3,9,25
277059139,15,10,5,5,50
277895314,5,0,0,0,NA
280636789,31,29,15,14,51.724137931034484
281013518,27,24,10,14,41.66666666666667
281083242,67,35,25,10,71.42857142857143
281395980,11,6,5,1,83.33333333333334
283881893,30,23,17,6,73.91304347826086
286447873,19,15,6,9,40
289594044,5,4,2,2,50
289815890,39,11,10,1,90.9090909090909
290104536,55,30,27,3,90
290452359,24,22,20,2,90.9090909090909
290887991,11,5,3,2,60
291841991,1,1,0,1,0
292051511,6,6,1,5,16.666666666666664
292762441,15,5,4,1,80
292821309,18,10,7,3,70
296528484,40,36,28,8,77.77777777777779
296649634,13,11,11,0,100
299788539,103,62,52,10,83.87096774193549
300059313,14,12,5,7,41.66666666666667
300813545,57,32,17,15,53.125
301785144,14,12,6,6,50
303995564,19,9,5,4,55.55555555555556
304787338,114,69,53,16,76.81159420289855
304905722,46,33,19,14,57.57575757575758
305000431,86,62,36,26,58.06451612903226
305430467,59,36,27,9,75
306059922,26,12,6,6,50
306126119,1,0,0,0,NA
308701086,8,4,1,3,25
308805981,26,17,5,12,29.411764705882355
312462944,9,5,4,1,80
314747565,53,18,15,3,83.33333333333334
316712629,119,53,42,11,79.24528301886792
317701006,10,5,3,2,60
320081019,32,20,14,6,70
322635337,11,9,6,3,66.66666666666666
322676447,41,22,15,7,68.18181818181817
324769183,55,34,21,13,61.76470588235294
324788846,23,4,2,2,50
324834493,52,31,24,7,77.41935483870968
325725604,18,7,3,4,42.857142857142854
326581878,38,12,12,0,100
327776748,54,34,33,1,97.05882352941177
328575880,10,2,2,0,100
330222133,20,4,3,1,75
331779345,86,72,53,19,73.61111111111111
333811650,19,11,8,3,72.72727272727273
334087505,57,38,31,7,81.57894736842105
334349460,54,35,27,8,77.14285714285715
