Characteristic,Condition Bin,Known Attendance,Did Attend,Did Not Attend,Did Attend Pct,Known Attendance For Characteristic,Did Attend Pct Characteristic,Char Att Diff,Known Attendance For Condition Bin,Did Attend Pct Condition Bin,Con Bin Att Diff,Char Con Bin
Arts and Sciences (Undeclared),Not Sig Rainy,845,655,190,77.51479289940828,930,77.63440860215054,0.12,7464,69.39978563772776,-8.12,Arts and Sciences (Undeclared) + Not Sig Rainy
Biology,Not Sig Rainy,176,103,73,58.52272727272727,192,56.770833333333336,-1.75,7464,69.39978563772776,10.88,Biology + Not Sig Rainy
Comm & Rhetorical Studies,Not Sig Rainy,862,650,212,75.4060324825986,933,75.13397642015005,-0.27,7464,69.39978563772776,-6.01,Comm & Rhetorical Studies + Not Sig Rainy
Economics,Not Sig Rainy,442,277,165,62.66968325791855,484,62.8099173553719,0.14,7464,69.39978563772776,6.73,Economics + Not Sig Rainy
Human Development & Family Sci,Not Sig Rainy,376,285,91,75.79787234042553,412,75.24271844660194,-0.56,7464,69.39978563772776,-6.4,Human Development & Family Sci + Not Sig Rainy
Info Mgmt & Technology,Not Sig Rainy,161,97,64,60.24844720496895,188,60.1063829787234,-0.14,7464,69.39978563772776,9.15,Info Mgmt & Technology + Not Sig Rainy
Management (Undeclared),Not Sig Rainy,142,78,64,54.929577464788736,152,54.60526315789473,-0.32,7464,69.39978563772776,14.47,Management (Undeclared) + Not Sig Rainy
Mechanical Engineering,Not Sig Rainy,150,95,55,63.33333333333333,168,63.095238095238095,-0.24,7464,69.39978563772776,6.07,Mechanical Engineering + Not Sig Rainy
Psychology,Not Sig Rainy,489,291,198,59.50920245398773,545,59.816513761467895,0.31,7464,69.39978563772776,9.89,Psychology + Not Sig Rainy
Sport&Human Dynamic-Undeclared,Not Sig Rainy,369,294,75,79.67479674796748,409,78.97310513447434,-0.7,7464,69.39978563772776,-10.28,Sport&Human Dynamic-Undeclared + Not Sig Rainy
Arts and Sciences (Undeclared),Not Snowy,827,642,185,77.62998790810157,930,77.63440860215054,0,7222,69.052893935198,-8.58,Arts and Sciences (Undeclared) + Not Snowy
Biology,Not Snowy,169,100,69,59.171597633136095,192,56.770833333333336,-2.4,7222,69.052893935198,9.88,Biology + Not Snowy
Comm & Rhetorical Studies,Not Snowy,807,602,205,74.59727385377943,933,75.13397642015005,0.54,7222,69.052893935198,-5.54,Comm & Rhetorical Studies + Not Snowy
Comm & Rhetorical Studies,Snowy,121,94,27,77.68595041322314,933,75.13397642015005,-2.55,939,66.24068157614484,-11.45,Comm & Rhetorical Studies + Snowy
Economics,Not Snowy,429,272,157,63.4032634032634,484,62.8099173553719,-0.59,7222,69.052893935198,5.65,Economics + Not Snowy
Human Development & Family Sci,Not Snowy,360,272,88,75.55555555555556,412,75.24271844660194,-0.31,7222,69.052893935198,-6.5,Human Development & Family Sci + Not Snowy
Info Mgmt & Technology,Not Snowy,163,101,62,61.963190184049076,188,60.1063829787234,-1.86,7222,69.052893935198,7.09,Info Mgmt & Technology + Not Snowy
