Condition Bin,Known Attendance,Did Attend,Did Not Attend,Did Attend Pct
Not Below Freezing,7524,5193,2331,69.01913875598086
Below Freezing,637,416,221,65.3061224489796
Not Cold,5038,3635,1403,72.1516474791584
Cold,3123,1974,1149,63.20845341018252
Not Hoodie Weather,5969,4030,1939,67.51549673312113
Hoodie Weather,2192,1579,613,72.03467153284672
Not Nice,6161,4124,2037,66.93718552183087
Nice,2000,1485,515,74.25
Not Hot,7952,5454,2498,68.58651911468813
Hot,209,155,54,74.16267942583733
Not Precip Over Zero,7995,5526,2469,69.11819887429644
Precip Over Zero,166,83,83,50
