Condition Bin,Known Attendance,Did Attend,Did Not Attend,Did Attend Pct
Not Below Freezing Or Cold,4401,3219,1182,73.14246762099523
Below Freezing Or Cold,3760,2390,1370,63.56382978723404
Not Hoodie Weather Or Nice,3969,2545,1424,64.12194507432602
Hoodie Weather Or Nice,4192,3064,1128,73.09160305343512
Not Sig Rainy Or Snowy,6525,4558,1967,69.8544061302682
Sig Rainy Or Snowy,1636,1051,585,64.24205378973105
Not Miserable,6760,4718,2042,69.79289940828403
Miserable,1401,891,510,63.597430406852254
Not Peaceful,4204,2705,1499,64.34348239771646
Peaceful,3957,2904,1053,73.38893100833965
Not Wind Without Precip,7507,5178,2329,68.97562275209805
Wind Without Precip,654,431,223,65.90214067278288
Not Calm Air Without Precip,2290,1482,808,64.71615720524018
Calm Air Without Precip,5871,4127,1744,70.29466871061149
Not Wind With Precip,7879,5441,2438,69.05698692727503
Wind With Precip,282,168,114,59.57446808510638
Not Calm Air With Precip,6807,4726,2081,69.42852945497282
Calm Air With Precip,1354,883,471,65.21418020679468
